,tier,leaguePoints,summonerId,summonerName,account_id
10,CHALLENGER,978,tLDI_vh1icgXUv8JRdEZS-foJIGANYTx4Rv_ASonFhT8aD0,고파 우 개미,vEGZf8tRCDFvxhf8HEtegglc3aPNISMkDOSrCLy4B_tpeJDyoO-mdIJO
11,CHALLENGER,1190,xOiLB-qsssoR0u1DvzcPbNFwA8ApKgbVZU1deLDUmGtPHGg,원딜 왕자 이채환,zTHvjXI_cYE5n9_afdYdSg9p-BEglhugyyhyNqyZr76EakY
12,CHALLENGER,959,CDDPmFD0jiUrPtRZFt0OdhuLQs5skBAf5Bv0_ipXjDUzOlE,whisper snow,-_dytQwXdo_vqVSTkOCkkbDvSR4u-iLE7OnJpd6L0nTojco
13,CHALLENGER,952,mI0kcAaaWgdu9tuQsty23_p9-BXcO93qxa3cowX48GZLxSw,Destiny,5XdjiA-XLa2_NrdjCn4TzzS-RNEgIbv9T3vptgQaPXDhEGg
14,CHALLENGER,926,78tps-AwNcpIZAVYv1Qoc_V5qsSpDSFZ-6qy1GxWr356tp4,KTA T0P,l6lvD_Y_xHZaaFWzGuE3_FkLMdSCdn86Gfshya006Gu-OIk
15,CHALLENGER,1428,S6M62Yd79A96eYZGLsJXJ0Q11IcSA1y9xqCPznuugZx4pHg,잇츠 낫배드,KqfZBLlkBVieFTzIFCmztazm09Y_QB3xega0mBwzrjcnLtl3ona8_ps4
16,CHALLENGER,1121,DJoWGSuVFyjKS7BQukUF-RKHPTIIv6HGGUSNyCIgyfiBQw,동해운수,6L4Iv1C7NK5WNgP_J88y51En1mduilMo4qeml2d0r-87
17,CHALLENGER,885,nhr6JDHLyzYXuOuLeQj5-PJSS52InzKcl73K9kDv2O1I420,9 밍,LxldSTGnkjm05KCSt7n0MF8THQUOG_D4B2O3PIKbSeHLVQM
18,CHALLENGER,845,QdjsIRSD_cZKVYbNwuS4wloWj9-zOpHkbeHuhlsGKnwcMwI,바쿠야,3AMf4DO_h5Xr1NXr3pA6q62wqrOmvux1NZakCUfFCN99yMU
19,CHALLENGER,1007,qal2uktFAuIT5_p2RMHZIUwBZYS3jlK4e4R3q_0dVmvtbuA,Hegzzz,kp2hB9ksU5PQcGFArk7VW__C-uyvdGj5RzNfN-mR2xfc41RUxE7K_5Ff
20,CHALLENGER,932,OX2MMLB-R-0nkRglqxmhP5qDXDQuBkVah7tJghioKTpeKG4,By 불비,zzTPiszZKoPDZYJhikgZOURSiNygNgkieAkoC4Rv6xWXNSY
21,CHALLENGER,904,5-cI5Bxl55x14OUOVZJPumH0j3L5gJCy9B3yxz7zb8giwNmg,YoneKing,dF6cHdHda_n_eQ-_eX28UQsXLN7hZmktRTn0i_FXgmk3DC1klxlNWptr
22,CHALLENGER,803,oJwMiuF4dzAeFR6YVAfCNHxWBDk1gezG2nKJ-oDR5LK1lWA,DRX BAO,jtWPXl4Ik1wcprhc8KXRTHeoZrVh1LS65ufqM716YFRZGm2V4BNNtr-Z
23,CHALLENGER,871,sAjHNP2cl2ERiA6FmAqYBlfEejkxbpjo6i_kUTimvkun38w,의지싸움,TAjm3ieUyaFCxRKflOyB1i9yRq9ncexcBBKltLR8Let4sRA
24,CHALLENGER,1188,f370LtCStLGYDFj3hgu-o0aLs361uzUADM4j2CI6XINpANk,sd11a5sd,11_ZHTtllsxMip39FHzOaAYOC-d8zsf_c67qnbpRTILTDYYsTdCefkif
25,CHALLENGER,872,MUfawlT96mvAu64fZnVSTWiMr5DH_98i2dtwGESG4u3vdDg,순진무구 하 다,u_sCKF6cVPMsoIZPgk0ChYNGUCrJSzqz9jIZaQe95tSryDAmpbpN0FYx
26,CHALLENGER,894,L_sqZOScC1spRUsHYatCoayuV-YcAmuuBHMvAu-NQp2fwIk,SANDBOX Ice,P9_so8JgaP2TzwpDDYCboiOQDykP7vs8cRZifXBXVF9UOlfQCeuTTKal
27,CHALLENGER,939,5LxG__6rPJioqy3nZSmUvFx1NXexrg1bEsgJTJOFd5e4Nek,야 핑 좀 꺼줄래,1tSiUUrwUkHX2_kR3gjiotxu4F8X5L5dALQXBtolJJylgq0
28,CHALLENGER,988,S4aRI-Ii9b2dp3hnMRdbXMEuHMzBtXpAD0PNhKCKdOvxZk8,오뚜기3분미트볼,5BOqfR1n9dHoZPj6iHNnNm5EaSW90ZfAlf7Lg7rVy_zlomU
29,CHALLENGER,845,0n-nI8vOC6B2yd4owCjaN6iMjdQpnSZbnrdHIUrbpLvaFoQ,Re0start,SvQCl7KGZf7M25FP9NNwpVVDvSMCqPB27duee3T2Xs7RtGXu6DjVcamh
30,CHALLENGER,861,DKe4XhZ1ykhZIxSwA105wPmXdv982O26fOz-07KmmQertsg,크세로,Orj2EtcDpb7gLvfZdNkN9vXKk5ifN8Rs5byYaGiBLcTMCsQ
31,CHALLENGER,872,rtMumCtWkRCaeEsiUI09Tt1kH6nHRBuysKnp73PG8a6i1kk,Demon,PlJGUPkob4quNyGu4RCMBSmeMWwAKRzTeV9_gEUamVa-9ag
32,CHALLENGER,882,YTBlavPsuWU77_Cb7lAvO8zwzkT_t1zXC8DkG50gGXHbSZo,tyzj,rKQthGhFsEAykmgXvXHK_n6E1-AZ79hFcVZfg05s0_t_XN2e7E2D_2BG
33,CHALLENGER,941,2ZEYq6w8HOG8afuSg5uXywEkOwpTIoAwdZVCEUkuc_kkoA,Iove galio,UOEIEbLHWMygj4R9ac-wcogztBx5y7kyQ1nA1LUg62XO
34,CHALLENGER,1001,--F7hlRsH8sB-4cjRqXFJhZswAbYNc8lhVjtbQSF4H2kL64,Gen G Meaning,53KjQNEmhf87pyEte8FFqxCA5689fov_dYz4R9O5It25q8g
35,CHALLENGER,902,YAECZlT0gMbDeIkWn5VBAkVKULW9CzwqAep1fSNCPEmJyw,수기 김,Fe7sW62-hqr-VJxxtNV8R6ZrfXWze1kUPiJl-FQHAFi5
36,CHALLENGER,900,AQHZTOGzd_3iDyEUU2ICy2TGP-eELzPwR2jq89vn3UwmZsM,xxxxxx UreK,aZjdNe8cVdpfIsWbHIIC82wNkFC8bNYsXUgQcqU0AsCn_nG492YpQ77U
37,CHALLENGER,1075,ikFmSyIcbprzcykQTdtFteYq6SA8APo_X2qtP1l5xH5HUug,5Kld,RdXtxESrEjxxgfXeLG3yQQ9vIruY3qkvWac283jtQqUHlky0QUvFzulk
38,CHALLENGER,1012,xX_LGqCHhl2lscuaiL5RSCgFXXFH4_TusrG7-11k9OhZn18,zywbzdcs,JdYze4CxHK5NBwQOxs5jMz0ZhjqQSyCA5WEAE99gDq29
